1	20	3.594505
1	33	3.499074
1	61	3.971058
1	117	3.503241
1	155	2.292630
1	160	3.842788
1	171	4.583770
1	189	4.434953
1	202	4.011065
1	265	3.751741
2	13	3.125400
2	50	4.229389
2	251	4.262635
2	280	2.843288
2	281	3.085542
2	290	2.898843
2	292	4.077980
2	297	4.000993
2	312	3.063102
2	314	1.073947
3	245	2.320802
3	294	2.108085
3	323	1.932559
3	328	2.095329
3	331	2.072982
3	332	2.191408
3	334	3.285400
3	335	2.652904
3	337	2.597807
3	343	2.377954
4	50	4.461770
4	260	3.917430
4	264	3.230303
4	288	3.531713
4	294	3.275696
4	303	4.795921
4	354	4.233323
4	356	3.066336
4	357	5.016770
4	361	3.703848
5	1	3.394573
5	2	2.677461
5	17	2.327831
5	98	3.486414
5	110	1.591778
5	225	1.841749
5	363	2.539891
5	424	0.742310
5	439	0.793027
5	454	1.447152
6	14	3.897103
6	23	3.970154
6	69	3.232521
6	86	3.622328
6	98	4.047998
6	258	3.451739
6	301	2.805555
6	463	3.648133
6	492	3.697409
6	517	3.788052
7	32	3.783648
7	163	3.898268
7	382	3.492617
7	430	4.238466
7	455	3.251821
7	479	4.594946
7	492	4.242399
7	497	4.338957
7	648	4.549037
7	661	4.251142
8	22	4.337052
8	50	4.799535
8	79	4.471880
8	89	4.557588
8	182	4.148942
8	294	2.772256
8	338	2.513991
8	385	3.497423
8	457	1.206756
8	550	3.732064
9	6	3.387408
9	286	3.129754
9	298	3.544425
9	340	4.241893
9	479	4.436938
9	487	4.015204
9	507	4.039030
9	521	3.445168
9	527	4.542640
9	691	3.815564
10	7	4.090557
10	16	3.454951
10	100	4.515105
10	175	3.913952
10	285	4.356258
10	461	3.799406
10	486	4.157082
10	488	4.346581
10	504	4.168115
10	611	4.314097
11	38	2.878300
11	110	2.734650
11	111	3.270666
11	227	2.670446
11	425	3.175924
11	558	3.166779
11	723	2.751706
11	725	2.250849
11	732	3.605092
11	740	3.389006
12	82	4.165505
12	96	4.506471
12	97	4.416259
12	132	4.171826
12	143	4.383262
12	172	4.401316
12	204	4.493334
12	300	4.212038
12	471	3.944421
12	735	4.571835
13	56	3.703982
13	98	4.048874
13	186	3.467977
13	198	3.840727
13	215	3.692895
13	272	3.413179
13	344	3.303202
13	360	2.490437
13	526	3.732173
13	836	3.407800
14	22	4.097850
14	98	3.965330
14	111	2.985442
14	174	4.246595
14	213	3.717272
14	269	3.800752
14	357	4.454954
14	474	4.469830
14	530	3.813685
14	709	4.415350
15	25	2.847586
15	127	3.792983
15	222	2.906621
15	331	2.629707
